object_type,artefact_type,regular_cleaning,conservation_cleaning
beakers (drinking vessels),vessels,15,365
marriage certificates ,certificates,15,180
electric switches,switches,7,7
textile art (visual works),visual works,15,365
fly whisks,whisks,10,90
slide projectors,projectors,7,180
books ,books,15,180
manuscripts (documents) ,documents,15,180
spinning wheels,wheels,10,10
passports ,passports,15,90
New Year cards,cards,15,90
photographs ,photographs,15,90
porcelain (visual works),visual works,15,365
colour slides ,slides,7,90
keys (texts),texts,7,90
military maps,maps,7,90
video art,video,7,365
puttees,clothes,30,365
teacups ,cups,7,180
textiles (visual works),visual works,15,365
black-and-white prints (photographs) ,photographs,15,90
cigarette cases,cases,10,180
lecterns ,books,15,180
jackets (garments) ,garments,15,180
candelabras (candleholders),candlehandle,10,90
mechanical toys,toys,10,180
marble slab tables,tables,3,180
sewing tools,tools,10,180
chronicles ,documents,7,365
saucers (plates),plates,7,180
artists' books (books) ,books,15,180
commemoratives,commemoratives,10,90
colour prints (photographs) ,photographs,7,90
canvas paintings,paintings,15,365
sarongs ,clothes,15,180
advertising cards,cards,15,15
hangings (coverings),coverings,7,180
visual works (works),visual works,15,180
sewing boxes,boxes,7,180
hand mirrors,mirrors,15,15
handles,accessories,7,7
birth certificates,certificates,15,180
texts (documents),documents,15,180
shaped canvases (paintings by form),paintings,7,180
kebayas,clothes,10,180
berets,apparel,30,180
tracts (documents) ,documents,15,180
flasks (bottles),bottles,15,180
cellular telephones,telephones,30,180
canvas (textile material),textile,15,180
colour lithographs,photographs,7,365
colour photographs ,photographs,7,365
application forms,documents,15,180
lacquerware,articles,15,180
crucifixes ,crucifixes ,30,180
footstools (stools),stools,30,180
canvas paintings ,paintings,15,365
perfume bottles,bottles,30,180
religious art,art,15,180
watercolors (paintings),paintings,30,365
stoles (outerwears),clothes,30,180
belts (costume accessories) ,accessories,15,180
ewers (vessels),vessels,15,180
ceremonial vessels ,vessels,20,180
oil paintings (visual works),visual works,20,365
Installations (visual works),visual works,15,365
curtains (window hangings),hangings,15,365
